genus_name,species_name,max,median
MALUS,XX,16,3
QUERCUS,SHUMARDII,16,8
STEWARTIA,PSEUDOCAMELLIA,16,3
CORNUS,MAS,15.5,4.125
PRUNUS,TRILOBA,15,14
FICUS,CARICA,14.75,5
CARPINUS,JAPONICA,14.5,3
CATALPA,HYBRIDA X,14.25,3
ABIES,PROCERA,14,11
CORYLUS,AVELLANA,14,3
CRATAEGUS,DOUGLASII,14,3
PRUNUS,PERSICA,14,14
PRUNUS,SALICINA,14,3
PYRUS,SPECIES,14,5.5
QUERCUS,XX,14,12
MALUS,YUNNANENSIS,13.5,8.875
MALUS,MICROMALUS   X,13.25,3
CATALPA,BUNGEI,13,6.5
CRATAEGUS,MORDENSIS,13,3
MALUS,SARGENTII,13,12.5
QUERCUS,PRINUS,13,10
ABIES,NORDMANNIANA,12,12
ACER,CAPILLIPES,12,6
ACER,GRISEUM,12,3
ARALIA,ELATA,12,6.125
BETULA,JACQUEMONTII,12,7.75
EUONYMUS,EUROPEA,12,3
MAGNOLIA,SIEBOLDII,12,3
MALUS,SPECTABILIS,12,4.5
NOTHOFAGUS,ANTARTICA,12,6
PICEA,ORIENTALIS,12,7.5
PINUS,MUGO,12,8
SORBUS,THURINGIACA   X,12,6
SYRINGA,RETICULATA,12,3
SYRINGA,SPECIES,12,3
LAURUS,NOBILIS,11.5,7
MANGLIETIA,INSIGNIS,11.5,3
MALUS,BACCATA,11.25,3.5
MALUS,TRANSITORIA,10.5,3
ALNUS,GLUTINOSA,10,9.75
BETULA,ALBA-SINENSIS,10,9
CERCIS,CANADENSIS,10,3
EUCOMMIA,ULMOIDES,10,6.5
LABURNUM,SPECIES,10,6
MAGNOLIA,DENUDATA,10,3.125
MAGNOLIA,VEITCHII   X,10,10
PTEROSTYRAX,HISPIDA,10,6
SYRINGA,VULGARIS,10,4
TAXODIUM,DISTICHUM,10,4
CATALPA,ERUBESCENS,9.5,3.5
MAGNOLIA,STELLATA,9.5,6.5
OSTRYIA,VIRGINIANA,9.5,7
ACER,BARBATUM,9,9
HIBISCUS,SYRIACA,9,3
MAGNOLIA,KEWENSIS X,9,3
MAGNOLIA,XX,9,3
QUERCUS,X WAREI,9,3
MAGNOLIA,DAWSONIANA,8.5,4
FAGUS,GRANDIFOLIA,8,3
FRAXINUS,NIGRA,8,3
LABURNUM,ALPINUM,8,8
PINUS,PARVIFLORA,8,7
THUJA,ORIENTALIS,8,6
TRACHYCARPUS,FORTUNEI,8,6
STYRAX,OBASSIA,7.75,4
CHITALPA,TASHKENTENSIS,7.5,3
ARBUTUS,UNEDO,7,7
MESPILUS,GERMANICA,7,3.75
RHUS,SPECIES,7,5
ACER,HENRYI,6.5,3.375
MAGNOLIA,LOEBNERI  X,6.5,5
QUERCUS,MYRSINIFOLIA,6.25,5
ACER,TEGMENTOSUM,6,3
ALBIZIA,JULIBRISSIN,6,6
GYMNOCLADUS,DIOICUS,6,3
HALESIA,MONTICOLA,6,6
MALUS,HUPEHENSIS,6,4.5
PRUNUS,MAACKII,6,3
TAXODIUM,ASCENDENS,6,5
AMELANCHIER,LAEVIS,5,2.625
CLERODENDRON,TRICHOTOMUM,5,5
CORNUS,OFFICIANALIS,5,3
KALOPANAX,SEPTEMLOBUS,5,5
PINUS,JEFFREYI,5,4.5
STEWARTIA,MONADELPHA,5,3
AESCULUS,ARNOLDIANA X,4.5,3
CATALPA,OVATA,4.25,4.25
CORYLUS,COLUMA,4.25,3.375
OXYDENDRUM,ARBOREUM,4.25,3
ABIES,LASIOCARPA,4,4
AESCULUS,FLAVA,4,3
AMELANCHIER,GRANDIFLORA X,4,3
ILEX,MESERVEAE,4,3.2
MAGNOLIA,OFFICINALIS,4,3
MAGNOLIA,SARGENTIANA,4,3
PICEA,LIKIANGENSIS,4,3
POPULUS,TREMULA,4,3
PINUS,FLEXILUS,3.75,3
ACER,PSEUDOSIEBOLDIANUM,3.5,3
SORBUS,TIANSHANICA,3.5,3
ABIES,KOREANA,3,3
ACER,MIYABEI,3,3
CERCIS,CHINENSIS,3,3
CORNUS,CAPITATA,3,3
FICUS,SPECIES,3,3
HIPPOPHAE,RHAMNOIDES,3,3
MAGNOLIA,CYLINDRICA,3,3
MAGNOLIA,SPRENGERI,3,3
MAGNOLIA,VIRGINIANA,3,3
MAGNOLIA,ZENII,3,3
MALUS,DOMESTICA,3,3
MICHELIA,WILSONII,3,3
NYSSA,SINENSIS,3,3
PRUNUS,ARMENIACA,3,3
PRUNUS,COCOMILIA,3,3
PRUNUS,SWEETHEART,3,3
PYRUS,COMMUNIS,3,3
QUERCUS,ELLIPSOIDALIS,3,3
QUERCUS,ROBUR X ALBA,3,3
QUERCUS,X BIMUNDORUM,3,3
STEWARTIA,KOREANA,3,3
VIBURNUM,LENTAGO,3,3
AMELANCHIER,ALBA,2,1.5
EUCALYPTUS,SPECIES,2,1.5
